preds,true
1.3578088,0.7
0.6250284,0.7
0.5440897,0.0
0.76955384,0.3
0.44432944,0.7
2.3614533,3.7
1.333683,1.7
0.6652169,0.0
3.0335462,1.7
1.7675036,1.3
1.680117,1.3
1.9360023,2.7
1.6526431,3.7
0.9197184,0.7
1.7481482,2.7
1.3316889,1.0
1.6664131,0.7
2.3723018,1.7
3.1703422,4.3
1.625751,1.7
0.69603556,0.3
0.69354844,0.0
1.1775925,0.0
0.38618442,0.3
1.8925545,1.7
0.9034305,1.3
1.074935,0.3
1.4050711,1.3
0.5780494,0.3
2.3766005,3.3
3.0787454,2.7
0.4462615,0.7
1.4789646,2.0
2.2524703,3.0
1.0551128,0.7
0.37762493,0.7
2.112032,1.3
0.59232634,0.0
2.89922,2.7
2.2378378,1.7
3.2731013,1.7
0.6658477,0.7
1.6897634,2.0
2.6346922,2.3
1.1786305,0.3
0.4183675,0.3
0.67738235,0.0
1.8882135,1.3
1.6323519,2.0
1.6228343,1.0
2.7669406,3.3
1.8761344,2.0
0.49171054,1.0
0.5717358,0.0
3.4628317,3.3
2.0286913,4.3
0.78032583,2.3
2.10078,1.7
1.4079239,2.0
1.8200744,2.7
4.936185,5.7
0.6346561,1.7
1.3581262,0.7
3.1810553,4.0
0.71440184,0.7
1.0021781,0.7
2.226589,2.7
2.0235386,2.3
1.2859727,1.7
5.9729056,6.0
2.8061192,3.0
0.38572007,0.3
1.4881408,2.0
0.68773305,0.7
2.3317842,1.7
0.905554,0.7
0.7262593,1.3
1.6049328,3.0
3.1681767,3.7
1.5506195,2.7
2.0588713,2.0
1.5704486,2.0
0.43473566,1.3
1.3636279,2.7
0.8718979,0.0
0.90403867,1.0
2.5251608,2.7
1.7968833,0.7
0.9479458,0.7
1.2066355,1.3
0.76333624,0.3
0.812876,0.7
1.1646483,0.7
1.4657048,0.7
3.2069654,3.3
3.195744,3.7
0.98148555,1.3
2.7785292,2.0
1.4958824,0.7
1.2834188,0.3
1.3140979,1.0
2.4975333,2.0
1.063909,0.3
3.0833368,3.7
1.6145439,1.7
0.3691352,0.3
1.4459705,1.7
2.5908551,3.3
1.6879315,1.3
2.0478687,2.0
2.6921358,0.7
2.2842884,3.7
0.38945684,0.7
0.46307337,0.0
1.1569256,0.3
0.8529521,0.3
2.4749978,2.3
2.1972544,2.7
3.1362193,3.0
